Character,compound,lines
DUDE,-0.00753952,625
WALTER,-0.049398319327731095,476
MAUDE,0.07578598130841122,107
LEBOWSKI,-0.003606249999999997,96
BRANDT,0.1316671875,64
THE STRANGER,0.089396,50
VOICE,0.07222045454545455,44
DONNY,-0.04147441860465116,43
TREEHORN,0.04728888888888889,27
DIETER,-0.19091923076923076,26
MAN,-0.11668695652173913,23
QUINTANA,-0.23234117647058822,17
DA FINO,-0.06574375,16
DONNELLY,0.12075,14
SMOKEY,-0.08568571428571428,14
CHIEF,-0.06426153846153847,13
POLICEMAN,0.07439166666666666,12
BLOND MAN,0.05599090909090909,11
BUNNY,-0.10325,10
WOO,-0.07200999999999999,10
YOUNGER COP,0.08671111111111111,9
DRIVER,-0.2714375,8
PILAR,0.1189125,8
KIEFFER,-0.14268571428571428,7
SECOND MAN,0.10212000000000002,5
ANOTHER VOICE,0.09244999999999999,4
FIRST MAN,-0.15284999999999999,4
GARY,0.1581,4
ALLAN,0.159225,4
TONY,0.2421333333333333,3
FRANZ,0.0,3
VOICE THROUGH MACHINE,0.0,3
WAITRESS,0.13066666666666668,3
OLDER COP,0.09106666666666667,3
WOMAN,0.0,3
SECOND CHAUFFEUR,0.15445,2
HALLWAY,0.0,2
PHONE VOICE,0.0191,2
GEORGE BUSH,-0.3595,1
MESSAGE,0.0,1
VIVA VOCE,0.4404,1
BARTENDER,0.0,1
THIRD MAN,0.0,1
